,title,link,link_alternative,link_icon,summary,ondemand,generationdate,beginposition,endposition,ingestiondate,orbitnumber,relativeorbitnumber,illuminationazimuthangle,illuminationzenithangle,vegetationpercentage,notvegetatedpercentage,waterpercentage,unclassifiedpercentage,mediumprobacloudspercentage,highprobacloudspercentage,snowicepercentage,cloudcoverpercentage,level1cpdiidentifier,gmlfootprint,footprint,format,processingbaseline,platformname,filename,instrumentname,instrumentshortname,size,s2datatakeid,producttype,platformidentifier,orbitdirection,platformserialidentifier,processinglevel,datastripidentifier,granuleidentifier,identifier,uuid
f30a7c94-70d8-4541-938f-7e31cbc21f21,S2B_MSIL2A_20220820T103629_N0400_R008_T37XED_20220831T211751,https://scihub.copernicus.eu/dhus/odata/v1/Products('f30a7c94-70d8-4541-938f-7e31cbc21f21')/$value,https://scihub.copernicus.eu/dhus/odata/v1/Products('f30a7c94-70d8-4541-938f-7e31cbc21f21')/,https://scihub.copernicus.eu/dhus/odata/v1/Products('f30a7c94-70d8-4541-938f-7e31cbc21f21')/Products('Quicklook')/$value,"Date: 2022-08-20T10:36:29.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 113.28 MB",false,2022-08-31 21:17:51,2022-08-20 10:36:29.024,2022-08-20 10:36:29.024,2022-09-01 16:46:44.101,28491,8,201.723109248472,63.7696565030001,0.0,0.0063939999999999995,88.211393,0.0,8.849981,2.9308,0.0,11.782210000000001,S2B_OPER_MSI_L1C_TL_2BPS_20220831T175421_A028491_T37XED_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>75.67044055783687,40.709193703622795 75.61317869849283,40.483323814664885 75.50458948282336,40.064781003488925 75.39534303084086,39.65216145173205 75.31741800815924,39.36417098021134 75.28437521911158,39.24198792607321 75.21736602235008,38.99929702093948 75.6846675191961,38.999275376304496 75.67044055783687,40.709193703622795</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((38.99929702093948 75.21736602235008, 39.24198792607321 75.28437521911158, 39.36417098021134 75.31741800815924, 39.65216145173205 75.39534303084086, 40.064781003488925 75.50458948282336, 40.483323814664885 75.61317869849283, 40.709193703622795 75.67044055783687, 38.999275376304496 75.6846675191961, 38.99929702093948 75.21736602235008)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220820T103629_N0400_R008_T37XED_20220831T211751.SAFE,Multi-Spectral Instrument,MSI,113.28 MB,GS2B_20220820T103629_028491_N04.00,S2MSI2A,2017-013A,ASCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220831T211751_S20220820T103646_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220831T211751_A028491_T37XED_N04.00,S2B_MSIL2A_20220820T103629_N0400_R008_T37XED_20220831T211751,f30a7c94-70d8-4541-938f-7e31cbc21f21
6b74fb63-404d-4df7-97c9-38eaebf872ec,S2A_MSIL2A_20220829T083611_N0400_R064_T37UFV_20220829T131804,https://scihub.copernicus.eu/dhus/odata/v1/Products('6b74fb63-404d-4df7-97c9-38eaebf872ec')/$value,https://scihub.copernicus.eu/dhus/odata/v1/Products('6b74fb63-404d-4df7-97c9-38eaebf872ec')/,https://scihub.copernicus.eu/dhus/odata/v1/Products('6b74fb63-404d-4df7-97c9-38eaebf872ec')/Products('Quicklook')/$value,"Date: 2022-08-29T08:36:11.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 24.97 MB",false,2022-08-29 13:18:04,2022-08-29 08:36:11.024,2022-08-29 08:36:11.024,2022-08-29 15:25:35.333,37527,64,169.347086500522,44.7464033997818,99.862063,0.0,0.0,0.137937,0.0,0.0,0.0,0.0,S2A_OPER_MSI_L1C_TL_ATOS_20220829T104353_A037527_T37UFV_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>54.13764823765585,40.56750640659826 54.0699885922006,40.528252956263856 54.138373318280884,40.53070125636573 54.13764823765585,40.56750640659826</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((40.528252956263856 54.0699885922006, 40.56750640659826 54.13764823765585, 40.53070125636573 54.138373318280884, 40.528252956263856 54.0699885922006)))",SAFE,04.00,Sentinel-2,S2A_MSIL2A_20220829T083611_N0400_R064_T37UFV_20220829T131804.SAFE,Multi-Spectral Instrument,MSI,24.97 MB,GS2A_20220829T083611_037527_N04.00,S2MSI2A,2015-028A,DESCENDING,Sentinel-2A,Level-2A,S2A_OPER_MSI_L2A_DS_ATOS_20220829T131804_S20220829T084455_N04.00,S2A_OPER_MSI_L2A_TL_ATOS_20220829T131804_A037527_T37UFV_N04.00,S2A_MSIL2A_20220829T083611_N0400_R064_T37UFV_20220829T131804,6b74fb63-404d-4df7-97c9-38eaebf872ec
330417a8-9c64-4020-8445-cc6adbc95517,S2B_MSIL2A_20220829T074609_N0400_R135_T39UVT_20220829T092640,https://scihub.copernicus.eu/dhus/odata/v1/Products('330417a8-9c64-4020-8445-cc6adbc95517')/$value,https://scihub.copernicus.eu/dhus/odata/v1/Products('330417a8-9c64-4020-8445-cc6adbc95517')/,https://scihub.copernicus.eu/dhus/odata/v1/Products('330417a8-9c64-4020-8445-cc6adbc95517')/Products('Quicklook')/$value,"Date: 2022-08-29T07:46:09.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 1.03 GB",false,2022-08-29 09:26:40,2022-08-29 07:46:09.024,2022-08-29 07:46:09.024,2022-08-29 13:02:11.843,28618,135,164.038630291529,43.4902208129096,9.891603,73.23851,0.212023,0.276602,0.132435,0.0035,0.0,16.286841,S2B_OPER_MSI_L1C_TL_2BPS_20220829T083818_A028618_T39UVT_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>52.34134780285317,49.53152890258829 52.350386283733314,51.143290766756216 51.36315784303349,51.14018879864438 51.354432348394134,49.563305120541536 52.34134780285317,49.53152890258829</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((49.563305120541536 51.354432348394134, 51.14018879864438 51.36315784303349, 51.143290766756216 52.350386283733314, 49.53152890258829 52.34134780285317, 49.563305120541536 51.354432348394134)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220829T074609_N0400_R135_T39UVT_20220829T092640.SAFE,Multi-Spectral Instrument,MSI,1.03 GB,GS2B_20220829T074609_028618_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220829T092640_S20220829T075213_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220829T092640_A028618_T39UVT_N04.00,S2B_MSIL2A_20220829T074609_N0400_R135_T39UVT_20220829T092640,330417a8-9c64-4020-8445-cc6adbc95517
6ceaf6ce-4a0e-46ae-8308-f93f80df4788,S2B_MSIL2A_20220829T074609_N0400_R135_T39VWD_20220829T092640,https://scihub.copernicus.eu/dhus/odata/v1/Products('6ceaf6ce-4a0e-46ae-8308-f93f80df4788')/$value,https://scihub.copernicus.eu/dhus/odata/v1/Products('6ceaf6ce-4a0e-46ae-8308-f93f80df4788')/,https://scihub.copernicus.eu/dhus/odata/v1/Products('6ceaf6ce-4a0e-46ae-8308-f93f80df4788')/Products('Quicklook')/$value,"Date: 2022-08-29T07:46:09.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 1.07 GB",false,2022-08-29 09:26:40,2022-08-29 07:46:09.024,2022-08-29 07:46:09.024,2022-08-29 12:59:54.300,28618,135,166.956136750001,48.5372794386843,91.46390599999998,7.266881,0.053623,0.186234,0.4404,0.132086,0.000123,0.997458,S2B_OPER_MSI_L1C_TL_2BPS_20220829T083818_A028618_T39VWD_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>57.74229815282701,50.99966405333985 57.72888323418421,52.84346534690257 56.74303077546777,52.79490603589657 56.7559504673474,50.9996729084891 57.74229815282701,50.99966405333985</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((52.79490603589657 56.74303077546777, 52.84346534690257 57.72888323418421, 50.99966405333985 57.74229815282701, 50.9996729084891 56.7559504673474, 52.79490603589657 56.74303077546777)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220829T074609_N0400_R135_T39VWD_20220829T092640.SAFE,Multi-Spectral Instrument,MSI,1.07 GB,GS2B_20220829T074609_028618_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220829T092640_S20220829T075213_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220829T092640_A028618_T39VWD_N04.00,S2B_MSIL2A_20220829T074609_N0400_R135_T39VWD_20220829T092640,6ceaf6ce-4a0e-46ae-8308-f93f80df4788
e629cc8b-abc1-46a1-9d45-a407eb047e00,S2B_MSIL2A_20220829T074609_N0400_R135_T39UWT_20220829T092640,https://scihub.copernicus.eu/dhus/odata/v1/Products('e629cc8b-abc1-46a1-9d45-a407eb047e00')/$value,https://scihub.copernicus.eu/dhus/odata/v1/Products('e629cc8b-abc1-46a1-9d45-a407eb047e00')/,https://scihub.copernicus.eu/dhus/odata/v1/Products('e629cc8b-abc1-46a1-9d45-a407eb047e00')/Products('Quicklook')/$value,"Date: 2022-08-29T07:46:09.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 650.82 MB",false,2022-08-29 09:26:40,2022-08-29 07:46:09.024,2022-08-29 07:46:09.024,2022-08-29 12:58:09.394,28618,135,166.075271428651,43.2605727409735,12.582727,71.85303,0.092994,0.286453,4.6e-05,0.0,0.0,15.171185,S2B_OPER_MSI_L1C_TL_2BPS_20220829T083818_A028618_T39UWT_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>52.3424480062089,52.17677228411036 52.27888154073636,52.14260122038248 52.134990890050126,52.06594786127046 51.99109786933737,51.989619893833634 51.847149252222046,51.91389960450082 51.70318273781231,51.83854641639536 51.55919493189216,51.763985396725566 51.41523569590462,51.68978476104604 51.39677615509739,51.680322560807234 51.35879406321839,51.660835938050305 51.36324170782969,50.99971272740982 52.3504731573947,50.999706370881356 52.3424480062089,52.17677228411036</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((51.660835938050305 51.35879406321839, 51.680322560807234 51.39677615509739, 51.68978476104604 51.41523569590462, 51.763985396725566 51.55919493189216, 51.83854641639536 51.70318273781231, 51.91389960450082 51.847149252222046, 51.989619893833634 51.99109786933737, 52.06594786127046 52.134990890050126, 52.14260122038248 52.27888154073636, 52.17677228411036 52.3424480062089, 50.999706370881356 52.3504731573947, 50.99971272740982 51.36324170782969, 51.660835938050305 51.35879406321839)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220829T074609_N0400_R135_T39UWT_20220829T092640.SAFE,Multi-Spectral Instrument,MSI,650.82 MB,GS2B_20220829T074609_028618_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220829T092640_S20220829T075213_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220829T092640_A028618_T39UWT_N04.00,S2B_MSIL2A_20220829T074609_N0400_R135_T39UWT_20220829T092640,e629cc8b-abc1-46a1-9d45-a407eb047e00
e067e08e-008b-4358-bb82-603fb7d93553,S2B_MSIL2A_20220829T074609_N0400_R135_T39UVU_20220829T092640,https://scihub.copernicus.eu/dhus/odata/v1/Products('e067e08e-008b-4358-bb82-603fb7d93553')/$value,https://scihub.copernicus.eu/dhus/odata/v1/Products('e067e08e-008b-4358-bb82-603fb7d93553')/,https://scihub.copernicus.eu/dhus/odata/v1/Products('e067e08e-008b-4358-bb82-603fb7d93553')/Products('Quicklook')/$value,"Date: 2022-08-29T07:46:09.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 1.05 GB",false,2022-08-29 09:26:40,2022-08-29 07:46:09.024,2022-08-29 07:46:09.024,2022-08-29 12:57:52.563,28618,135,164.191037741599,44.3673078310165,33.861622,45.35273,1.573167,0.467862,0.282547,0.028573,0.0,18.737589,S2B_OPER_MSI_L1C_TL_2BPS_20220829T083818_A028618_T39UVU_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>53.240200815060746,49.50094041209755 53.24953673463324,51.14627687240083 52.26245957867572,51.14300718474266 52.25344953517325,49.5344338484679 53.240200815060746,49.50094041209755</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((49.5344338484679 52.25344953517325, 51.14300718474266 52.26245957867572, 51.14627687240083 53.24953673463324, 49.50094041209755 53.240200815060746, 49.5344338484679 52.25344953517325)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220829T074609_N0400_R135_T39UVU_20220829T092640.SAFE,Multi-Spectral Instrument,MSI,1.05 GB,GS2B_20220829T074609_028618_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220829T092640_S20220829T075213_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220829T092640_A028618_T39UVU_N04.00,S2B_MSIL2A_20220829T074609_N0400_R135_T39UVU_20220829T092640,e067e08e-008b-4358-bb82-603fb7d93553
e163ee96-fb0b-4d69-af88-06d4307746c4,S2B_MSIL2A_20220829T074609_N0400_R135_T39VVE_20220829T092640,https://scihub.copernicus.eu/dhus/odata/v1/Products('e163ee96-fb0b-4d69-af88-06d4307746c4')/$value,https://scihub.copernicus.eu/dhus/odata/v1/Products('e163ee96-fb0b-4d69-af88-06d4307746c4')/,https://scihub.copernicus.eu/dhus/odata/v1/Products('e163ee96-fb0b-4d69-af88-06d4307746c4')/Products('Quicklook')/$value,"Date: 2022-08-29T07:46:09.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 466.97 MB",false,2022-08-29 09:26:40,2022-08-29 07:46:09.024,2022-08-29 07:46:09.024,2022-08-29 12:57:29.611,28618,135,164.917124424476,49.6331900774759,83.156389,9.847672,0.066788,0.029409,1.359235,1.827352,0.0,6.896624,S2B_OPER_MSI_L1C_TL_2BPS_20220829T083818_A028618_T39VVE_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>57.64846162132446,50.179676236753764 57.67676273205936,50.19432247397943 57.82114834069855,50.27092193446816 57.96544020538248,50.3488618784488 58.10973683623461,50.427622215307686 58.254097930894126,50.50687234864192 58.398418488812126,50.58735316738391 58.527515268278734,50.66026252647697 58.54251413160844,50.66875187080414 58.62366199320083,50.71504620745704 58.63785781418317,50.72314836217412 58.64054636337349,51.16813116162607 57.65434374334199,51.16354523940269 57.64846162132446,50.179676236753764</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((50.179676236753764 57.64846162132446, 51.16354523940269 57.65434374334199, 51.16813116162607 58.64054636337349, 50.72314836217412 58.63785781418317, 50.71504620745704 58.62366199320083, 50.66875187080414 58.54251413160844, 50.66026252647697 58.527515268278734, 50.58735316738391 58.398418488812126, 50.50687234864192 58.254097930894126, 50.427622215307686 58.10973683623461, 50.3488618784488 57.96544020538248, 50.27092193446816 57.82114834069855, 50.19432247397943 57.67676273205936, 50.179676236753764 57.64846162132446)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220829T074609_N0400_R135_T39VVE_20220829T092640.SAFE,Multi-Spectral Instrument,MSI,466.97 MB,GS2B_20220829T074609_028618_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220829T092640_S20220829T075213_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220829T092640_A028618_T39VVE_N04.00,S2B_MSIL2A_20220829T074609_N0400_R135_T39VVE_20220829T092640,e163ee96-fb0b-4d69-af88-06d4307746c4
7989a416-488d-464a-8eda-6bd846554340,S2A_MSIL2A_20220829T083611_N0400_R064_T38VPQ_20220829T111657,https://scihub.copernicus.eu/dhus/odata/v1/Products('7989a416-488d-464a-8eda-6bd846554340')/$value,https://scihub.copernicus.eu/dhus/odata/v1/Products('7989a416-488d-464a-8eda-6bd846554340')/,https://scihub.copernicus.eu/dhus/odata/v1/Products('7989a416-488d-464a-8eda-6bd846554340')/Products('Quicklook')/$value,"Date: 2022-08-29T08:36:11.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 35.12 MB",false,2022-08-29 11:16:57,2022-08-29 08:36:11.024,2022-08-29 08:36:11.024,2022-08-29 12:55:23.228,37527,64,178.072102043379,53.3129589070369,71.634114,5.930912,0.002266,6.524739,6.322329,1.513741,0.0,12.115971,S2A_OPER_MSI_L1C_TL_ATOS_20220829T092954_A037527_T38VPQ_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>63.110130599616205,47.237987599904685 62.981338742770255,47.113867863666286 62.842828726130286,46.98159788766667 62.823173588468485,46.9631101472758 63.115669265729814,46.98231423521527 63.110130599616205,47.237987599904685</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((46.9631101472758 62.823173588468485, 46.98159788766667 62.842828726130286, 47.113867863666286 62.981338742770255, 47.237987599904685 63.110130599616205, 46.98231423521527 63.115669265729814, 46.9631101472758 62.823173588468485)))",SAFE,04.00,Sentinel-2,S2A_MSIL2A_20220829T083611_N0400_R064_T38VPQ_20220829T111657.SAFE,Multi-Spectral Instrument,MSI,35.12 MB,GS2A_20220829T083611_037527_N04.00,S2MSI2A,2015-028A,DESCENDING,Sentinel-2A,Level-2A,S2A_OPER_MSI_L2A_DS_ATOS_20220829T111657_S20220829T083641_N04.00,S2A_OPER_MSI_L2A_TL_ATOS_20220829T111657_A037527_T38VPQ_N04.00,S2A_MSIL2A_20220829T083611_N0400_R064_T38VPQ_20220829T111657,7989a416-488d-464a-8eda-6bd846554340
ab600da0-8d78-461c-8e83-5e469c44ecbe,S2B_MSIL2A_20220829T074609_N0400_R135_T39VVD_20220829T092640,https://scihub.copernicus.eu/dhus/odata/v1/Products('ab600da0-8d78-461c-8e83-5e469c44ecbe')/$value,https://scihub.copernicus.eu/dhus/odata/v1/Products('ab600da0-8d78-461c-8e83-5e469c44ecbe')/,https://scihub.copernicus.eu/dhus/odata/v1/Products('ab600da0-8d78-461c-8e83-5e469c44ecbe')/Products('Quicklook')/$value,"Date: 2022-08-29T07:46:09.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 769.05 MB",false,2022-08-29 09:26:40,2022-08-29 07:46:09.024,2022-08-29 07:46:09.024,2022-08-29 12:48:51.232,28618,135,164.816967393102,48.7549838662184,73.173147,5.874369,0.333913,1.358499,2.547242,2.909468,0.0,19.103624,S2B_OPER_MSI_L1C_TL_2BPS_20220829T083818_A028618_T39VVD_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>56.74730263934219,49.71592166606252 56.808621305661084,49.74674073573068 56.953477258484654,49.82056171211732 57.09817211756096,49.89539674209514 57.24281418802235,49.970058766604645 57.38754412348701,50.04427037418616 57.53209766441277,50.119456193328254 57.67676273205936,50.19432247397943 57.73657952278897,50.22605648086031 57.742192087923826,51.16394158635091 56.75584831931014,51.15962030629394 56.74730263934219,49.71592166606252</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((49.71592166606252 56.74730263934219, 51.15962030629394 56.75584831931014, 51.16394158635091 57.742192087923826, 50.22605648086031 57.73657952278897, 50.19432247397943 57.67676273205936, 50.119456193328254 57.53209766441277, 50.04427037418616 57.38754412348701, 49.970058766604645 57.24281418802235, 49.89539674209514 57.09817211756096, 49.82056171211732 56.953477258484654, 49.74674073573068 56.808621305661084, 49.71592166606252 56.74730263934219)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220829T074609_N0400_R135_T39VVD_20220829T092640.SAFE,Multi-Spectral Instrument,MSI,769.05 MB,GS2B_20220829T074609_028618_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220829T092640_S20220829T075213_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220829T092640_A028618_T39VVD_N04.00,S2B_MSIL2A_20220829T074609_N0400_R135_T39VVD_20220829T092640,ab600da0-8d78-461c-8e83-5e469c44ecbe
eb493d0f-d174-47ac-bb78-ccdc176443c7,S2A_MSIL2A_20220829T083611_N0400_R064_T39VUK_20220829T111657,https://scihub.copernicus.eu/dhus/odata/v1/Products('eb493d0f-d174-47ac-bb78-ccdc176443c7')/$value,https://scihub.copernicus.eu/dhus/odata/v1/Products('eb493d0f-d174-47ac-bb78-ccdc176443c7')/,https://scihub.copernicus.eu/dhus/odata/v1/Products('eb493d0f-d174-47ac-bb78-ccdc176443c7')/Products('Quicklook')/$value,"Date: 2022-08-29T08:36:11.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 22.11 MB",false,2022-08-29 11:16:57,2022-08-29 08:36:11.024,2022-08-29 08:36:11.024,2022-08-29 12:47:42.223,37527,64,178.259847910828,53.3147725763016,70.682555,6.571405,0.001694,8.175991,6.61094,3.359973,0.0,11.793510999999999,S2A_OPER_MSI_L1C_TL_ATOS_20220829T092954_A037527_T39VUK_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>63.077563696450476,47.20660211071287 62.981338742770255,47.113867863666286 62.92418350405539,47.05928753629027 63.07417567839059,47.03962362084539 63.077563696450476,47.20660211071287</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((47.05928753629027 62.92418350405539, 47.113867863666286 62.981338742770255, 47.20660211071287 63.077563696450476, 47.03962362084539 63.07417567839059, 47.05928753629027 62.92418350405539)))",SAFE,04.00,Sentinel-2,S2A_MSIL2A_20220829T083611_N0400_R064_T39VUK_20220829T111657.SAFE,Multi-Spectral Instrument,MSI,22.11 MB,GS2A_20220829T083611_037527_N04.00,S2MSI2A,2015-028A,DESCENDING,Sentinel-2A,Level-2A,S2A_OPER_MSI_L2A_DS_ATOS_20220829T111657_S20220829T083641_N04.00,S2A_OPER_MSI_L2A_TL_ATOS_20220829T111657_A037527_T39VUK_N04.00,S2A_MSIL2A_20220829T083611_N0400_R064_T39VUK_20220829T111657,eb493d0f-d174-47ac-bb78-ccdc176443c7
